taxon_id,scientific_name,common_name,kingdom,phylum,class,order,family,genus,taxon_group,threatened_species_body,conservation_status,listed_names,conservation_status_cleaned
66785,Abebaioscia troglodytes,Pannikin Plains Cave Isopod,Animalia,Arthropoda,Malacostraca,Isopoda,Philosciidae,Abebaioscia,"crabs, lobsters, shrimps, woodlice",wa_wc_act,Vulnerable,Abebaioscia troglodytes,Vulnerable
86455,Acanthaeschna victoria,Thylacine Darter,Animalia,Arthropoda,Insecta,Odonata,Telephlebiidae,Acanthaeschna,insects,iucn_red_list,Endangered,NA,Endangered
83772,Acanthastrea hemprichii,Starry Cup Coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Mussidae,Acanthastrea,"anemones, corals",iucn_red_list,Vulnerable,NA,Vulnerable
83577,Acanthastrea hillae,Starry Cup Coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Mussidae,Acanthastrea,"anemones, corals",iucn_red_list,Near Threatened,NA,Near Threatened
93901,Acanthastrea minuta,NA,Animalia,Cnidaria,Anthozoa,Scleractinia,Lobophylliidae,Acanthastrea,"anemones, corals",iucn_red_list,Near Threatened,NA,Near Threatened
93412,Acanthastrea pachysepta,Lobed Cactus Coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Lobophylliidae,Acanthastrea,"anemones, corals",iucn_red_list,Near Threatened,NA,Near Threatened
88738,Acanthastrea rotundoflora,Starry Cup Coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Mussidae,Acanthastrea,"anemones, corals",iucn_red_list,Near Threatened,NA,Near Threatened
88739,Acanthastrea subechinata,Starry Cup Coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Mussidae,Acanthastrea,"anemones, corals",iucn_red_list,Near Threatened,NA,Near Threatened
87804,Acizzia mccarthyi,McCarthy's Plant Louse,Animalia,Arthropoda,Insecta,Hemiptera,Psyllidae,Acizzia,insects,wa_wc_act,Vulnerable,Acizzia mccarthyi,Vulnerable
87804,Acizzia mccarthyi,McCarthy's Plant Louse,Animalia,Arthropoda,Insecta,Hemiptera,Psyllidae,Acizzia,insects,iucn_red_list,Endangered,NA,Endangered
84104,Acizzia veski,Vesk's Plant-louse,Animalia,Arthropoda,Insecta,Hemiptera,Psyllidae,Acizzia,insects,wa_wc_act,Vulnerable,Acizzia veski,Vulnerable
84104,Acizzia veski,Vesk's Plant-louse,Animalia,Arthropoda,Insecta,Hemiptera,Psyllidae,Acizzia,insects,iucn_red_list,Critically Endangered,NA,Critically Endangered
26203,Acrodipsas brisbanensis,NA,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Acrodipsas,insects,vic_ffg_act_advisory_lists,Endangered,Acrodipsas brisbanensis,Endangered
26205,Acrodipsas illidgei,"Illidge's Ant-blue, Mangrove Ant-blue",Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Acrodipsas,insects,qld_nc_act,Vulnerable,Acrodipsas illidgei,Vulnerable
26205,Acrodipsas illidgei,"Illidge's Ant-blue, Mangrove Ant-blue",Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Acrodipsas,insects,iucn_red_list,Endangered,NA,Endangered
26207,Acrodipsas myrmecophila,Small Ant-blue,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Acrodipsas,insects,vic_ffg_act_advisory_lists,Endangered,Acrodipsas myrmecophila,Endangered
84094,Acropora abrolhosensis,staghorn coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,"anemones, corals",iucn_red_list,Vulnerable,NA,Vulnerable
83246,Acropora aculeus,a staghorn coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,"anemones, corals",iucn_red_list,Vulnerable,NA,Vulnerable
86460,Acropora acuminata,staghorn coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,"anemones, corals",iucn_red_list,Vulnerable,NA,Vulnerable
84172,Acropora anthocercis,staghorn coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,"anemones, corals",iucn_red_list,Vulnerable,NA,Vulnerable
75747,Acropora aspera,staghorn coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,"anemones, corals",iucn_red_list,Vulnerable,NA,Vulnerable
78517,Acropora austera,Arborescent coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,"anemones, corals",iucn_red_list,Near Threatened,NA,Near Threatened
86461,Acropora awi,staghorn coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,"anemones, corals",iucn_red_list,Vulnerable,NA,Vulnerable
86462,Acropora batunai,staghorn coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,"anemones, corals",iucn_red_list,Vulnerable,NA,Vulnerable
86912,Acropora carduus,staghorn coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,"anemones, corals",iucn_red_list,Near Threatened,NA,Near Threatened
84173,Acropora caroliniana,staghorn coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,"anemones, corals",iucn_red_list,Vulnerable,NA,Vulnerable
82726,Acropora dendrum,a staghorn coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,"anemones, corals",iucn_red_list,Vulnerable,NA,Vulnerable
86463,Acropora derawanensis,staghorn coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,"anemones, corals",iucn_red_list,Vulnerable,NA,Vulnerable
86464,Acropora desalwii,staghorn coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,"anemones, corals",iucn_red_list,Vulnerable,NA,Vulnerable
78519,Acropora digitifera,Digitate coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,"anemones, corals",iucn_red_list,Near Threatened,NA,Near Threatened
83578,Acropora divaricata,Table Coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,"anemones, corals",iucn_red_list,Near Threatened,NA,Near Threatened
86465,Acropora donei,staghorn coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,"anemones, corals",iucn_red_list,Vulnerable,NA,Vulnerable
83579,Acropora echinata,a staghorn coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,"anemones, corals",iucn_red_list,Vulnerable,NA,Vulnerable
86466,Acropora elegans,staghorn coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,"anemones, corals",iucn_red_list,Vulnerable,NA,Vulnerable
82596,Acropora florida,Branching Coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,"anemones, corals",iucn_red_list,Near Threatened,NA,Near Threatened
75751,Acropora formosa,staghorn coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,"anemones, corals",iucn_red_list,Near Threatened,NA,Near Threatened
86897,Acropora glauca,staghorn coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,"anemones, corals",iucn_red_list,Near Threatened,NA,Near Threatened
86467,Acropora globiceps,staghorn coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,"anemones, corals",iucn_red_list,Vulnerable,NA,Vulnerable
78521,Acropora granulosa,plate coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,"anemones, corals",iucn_red_list,Near Threatened,NA,Near Threatened
86468,Acropora hoeksemai,staghorn coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,"anemones, corals",iucn_red_list,Vulnerable,NA,Vulnerable
83696,Acropora horrida,acropora coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,"anemones, corals",iucn_red_list,Vulnerable,NA,Vulnerable
83697,Acropora humilis,acropora coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,"anemones, corals",iucn_red_list,Near Threatened,NA,Near Threatened
78522,Acropora hyacinthus,Plate coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,"anemones, corals",iucn_red_list,Near Threatened,NA,Near Threatened
86469,Acropora indonesia,staghorn coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,"anemones, corals",iucn_red_list,Vulnerable,NA,Vulnerable
86470,Acropora jacquelineae,staghorn coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,"anemones, corals",iucn_red_list,Vulnerable,NA,Vulnerable
86471,Acropora kimbeensis,staghorn coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,"anemones, corals",iucn_red_list,Vulnerable,NA,Vulnerable
86472,Acropora kirstyae,staghorn coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,"anemones, corals",iucn_red_list,Vulnerable,NA,Vulnerable
86473,Acropora kosurini,staghorn coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,"anemones, corals",iucn_red_list,Vulnerable,NA,Vulnerable
